sample,trait,value,label
Floor-Pot_1_1,in_bounds,1.0,none
Floor-Pot_1_1,area,78735.0,pixels
Floor-Pot_1_1,convex_hull_area,86613.0,pixels
Floor-Pot_1_1,solidity,0.909043677046171,none
Floor-Pot_1_1,perimeter,2406.3788472414017,pixels
Floor-Pot_1_1,width,1011.0,pixels
Floor-Pot_1_1,height,127.0,pixels
Floor-Pot_1_1,longest_path,7018.0,pixels
Floor-Pot_1_1,center_of_mass,715.3334857433161,x
Floor-Pot_1_1,center_of_mass,167.5657839588493,y
Floor-Pot_1_1,convex_hull_vertices,31.0,none
Floor-Pot_1_1,object_in_frame,1.0,none
Floor-Pot_1_1,ellipse_center,766.2758178710938,x
Floor-Pot_1_1,ellipse_center,165.97442626953125,y
Floor-Pot_1_1,ellipse_major_axis,1128.7525634765625,pixels
Floor-Pot_1_1,ellipse_minor_axis,104.64695739746094,pixels
Floor-Pot_1_1,ellipse_angle,87.9531021118164,degrees
Floor-Pot_1_1,ellipse_eccentricity,0.995693128142433,none
Floor-Pot_1_1,yii_mean_Fv/Fm,0.7945524758141405,none
Floor-Pot_1_1,yii_median_Fv/Fm,0.8012675418741512,none
Floor-Pot_1_1,yii_max_Fv/Fm,1.0,none
Floor-Pot_1_1,yii_mode_Fv/Fm,0.8,none
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.0
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947,0.01
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947,0.02
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0025402309069894,0.03
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.04
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947,0.05
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.06
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.07
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947,0.08
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0038103463604841,0.09
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947,0.1
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0063505772674736,0.11
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0038103463604841,0.12
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947,0.13
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0038103463604841,0.14
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0025402309069894,0.15
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0038103463604841,0.16
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0076206927209683,0.17
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0025402309069894,0.18
