sample,trait,value,label
Floor-Pot_1_1,in_bounds,1,none
Floor-Pot_1_1,area,78735.0,pixels
Floor-Pot_1_1,convex_hull_area,86613.0,pixels
Floor-Pot_1_1,solidity,0.909043677046171,none
Floor-Pot_1_1,perimeter,2406.3788472414017,pixels
Floor-Pot_1_1,width,1011,pixels
Floor-Pot_1_1,height,127,pixels
Floor-Pot_1_1,longest_path,7018,pixels
Floor-Pot_1_1,center_of_mass,715.3334857433161,x
Floor-Pot_1_1,center_of_mass,167.5657839588493,y
Floor-Pot_1_1,convex_hull_vertices,31,none
Floor-Pot_1_1,object_in_frame,1,none
Floor-Pot_1_1,ellipse_center,766.2758178710938,x
Floor-Pot_1_1,ellipse_center,165.97442626953125,y
Floor-Pot_1_1,ellipse_major_axis,1128.7525634765625,pixels
Floor-Pot_1_1,ellipse_minor_axis,104.64695739746094,pixels
Floor-Pot_1_1,ellipse_angle,87.9531021118164,degrees
Floor-Pot_1_1,ellipse_eccentricity,0.995693128142433,none
Floor-Pot_1_1,yii_mean_Fv/Fm,0.7945524758141405,none
Floor-Pot_1_1,yii_median_Fv/Fm,0.8012675418741512,none
Floor-Pot_1_1,yii_max_Fv/Fm,1.0,none
Floor-Pot_1_1,yii_mode_Fv/Fm,0.8,none
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.0
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947225,0.01
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947225,0.02
Floor-Pot_1_1,yii_hist_Fv/Fm,0.002540230906989445,0.03
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.04
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947225,0.05
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.06
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0,0.07
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947225,0.08
Floor-Pot_1_1,yii_hist_Fv/Fm,0.003810346360484168,0.09
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947225,0.1
Floor-Pot_1_1,yii_hist_Fv/Fm,0.006350577267473613,0.11
Floor-Pot_1_1,yii_hist_Fv/Fm,0.003810346360484168,0.12
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0012701154534947225,0.13
Floor-Pot_1_1,yii_hist_Fv/Fm,0.003810346360484168,0.14
Floor-Pot_1_1,yii_hist_Fv/Fm,0.002540230906989445,0.15
Floor-Pot_1_1,yii_hist_Fv/Fm,0.003810346360484168,0.16
Floor-Pot_1_1,yii_hist_Fv/Fm,0.007620692720968336,0.17
Floor-Pot_1_1,yii_hist_Fv/Fm,0.002540230906989445,0.18
Floor-Pot_1_1,yii_hist_Fv/Fm,0.002540230906989445,0.19
Floor-Pot_1_1,yii_hist_Fv/Fm,0.003810346360484168,0.2
Floor-Pot_1_1,yii_hist_Fv/Fm,0.006350577267473613,0.21
Floor-Pot_1_1,yii_hist_Fv/Fm,0.01016092362795778,0.22
Floor-Pot_1_1,yii_hist_Fv/Fm,0.006350577267473613,0.23
Floor-Pot_1_1,yii_hist_Fv/Fm,0.002540230906989445,0.24
Floor-Pot_1_1,yii_hist_Fv/Fm,0.00508046181397889,0.25
Floor-Pot_1_1,yii_hist_Fv/Fm,0.006350577267473613,0.26
Floor-Pot_1_1,yii_hist_Fv/Fm,0.007620692720968336,0.27
Floor-Pot_1_1,yii_hist_Fv/Fm,0.015241385441936673,0.28
Floor-Pot_1_1,yii_hist_Fv/Fm,0.01016092362795778,0.29
Floor-Pot_1_1,yii_hist_Fv/Fm,0.012701154534947226,0.3
Floor-Pot_1_1,yii_hist_Fv/Fm,0.016511500895431394,0.31
Floor-Pot_1_1,yii_hist_Fv/Fm,0.02032184725591556,0.32
Floor-Pot_1_1,yii_hist_Fv/Fm,0.011431039081452503,0.33
Floor-Pot_1_1,yii_hist_Fv/Fm,0.012701154534947226,0.34
Floor-Pot_1_1,yii_hist_Fv/Fm,0.015241385441936673,0.35
Floor-Pot_1_1,yii_hist_Fv/Fm,0.022862078162905006,0.36
Floor-Pot_1_1,yii_hist_Fv/Fm,0.03810346360484168,0.37
Floor-Pot_1_1,yii_hist_Fv/Fm,0.030482770883873345,0.38
Floor-Pot_1_1,yii_hist_Fv/Fm,0.02413219361639973,0.39
Floor-Pot_1_1,yii_hist_Fv/Fm,0.021591962709410283,0.4
Floor-Pot_1_1,yii_hist_Fv/Fm,0.03429311724435751,0.41
Floor-Pot_1_1,yii_hist_Fv/Fm,0.021591962709410283,0.42
Floor-Pot_1_1,yii_hist_Fv/Fm,0.03429311724435751,0.43
Floor-Pot_1_1,yii_hist_Fv/Fm,0.04572415632581001,0.44
Floor-Pot_1_1,yii_hist_Fv/Fm,0.043183925418820567,0.45
Floor-Pot_1_1,yii_hist_Fv/Fm,0.05461496450027307,0.46
Floor-Pot_1_1,yii_hist_Fv/Fm,0.046994271779304736,0.47
Floor-Pot_1_1,yii_hist_Fv/Fm,0.04445404087231529,0.48
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0673161190352203,0.49
Floor-Pot_1_1,yii_hist_Fv/Fm,0.04064369451183112,0.5
Floor-Pot_1_1,yii_hist_Fv/Fm,0.06858623448871502,0.51
Floor-Pot_1_1,yii_hist_Fv/Fm,0.07493681175618863,0.52
Floor-Pot_1_1,yii_hist_Fv/Fm,0.0673161190352203,0.53
Floor-Pot_1_1,yii_hist_Fv/Fm,0.07620692720968336,0.54
Floor-Pot_1_1,yii_hist_Fv/Fm,0.08636785083764113,0.55
Floor-Pot_1_1,yii_hist_Fv/Fm,0.08636785083764113,0.56
Floor-Pot_1_1,yii_hist_Fv/Fm,0.08509773538414642,0.57
Floor-Pot_1_1,yii_hist_Fv/Fm,0.10033912082608308,0.58
Floor-Pot_1_1,yii_hist_Fv/Fm,0.10033912082608308,0.59
Floor-Pot_1_1,yii_hist_Fv/Fm,0.11304027536103033,0.6
Floor-Pot_1_1,yii_hist_Fv/Fm,0.09906900537258838,0.61
Floor-Pot_1_1,yii_hist_Fv/Fm,0.16003454714033505,0.62
Floor-Pot_1_1,yii_hist_Fv/Fm,0.1638448935008192,0.63
Floor-Pot_1_1,yii_hist_Fv/Fm,0.23116101253603952,0.64
Floor-Pot_1_1,yii_hist_Fv/Fm,0.26037366796641814,0.65
Floor-Pot_1_1,yii_hist_Fv/Fm,0.3302300179086279,0.66
Floor-Pot_1_1,yii_hist_Fv/Fm,0.46105190961858433,0.67
Floor-Pot_1_1,yii_hist_Fv/Fm,0.7036439612360764,0.68
Floor-Pot_1_1,yii_hist_Fv/Fm,0.861138277469422,0.69
Floor-Pot_1_1,yii_hist_Fv/Fm,1.2396326826108492,0.7
Floor-Pot_1_1,yii_hist_Fv/Fm,1.7375179403807808,0.71
Floor-Pot_1_1,yii_hist_Fv/Fm,2.2544549299531327,0.72
Floor-Pot_1_1,yii_hist_Fv/Fm,2.880621848526031,0.73
Floor-Pot_1_1,yii_hist_Fv/Fm,3.7417601259954534,0.74
Floor-Pot_1_1,yii_hist_Fv/Fm,4.715938678825905,0.75
Floor-Pot_1_1,yii_hist_Fv/Fm,5.61009995808619,0.76
Floor-Pot_1_1,yii_hist_Fv/Fm,6.607140589079548,0.77
Floor-Pot_1_1,yii_hist_Fv/Fm,7.357778822094928,0.78
Floor-Pot_1_1,yii_hist_Fv/Fm,7.85312384895787,0.79
Floor-Pot_1_1,yii_hist_Fv/Fm,8.213836637750372,0.8
Floor-Pot_1_1,yii_hist_Fv/Fm,7.983945740667826,0.81
Floor-Pot_1_1,yii_hist_Fv/Fm,7.668957108201136,0.82
Floor-Pot_1_1,yii_hist_Fv/Fm,6.593169319091105,0.83
Floor-Pot_1_1,yii_hist_Fv/Fm,5.606289611725706,0.84
Floor-Pot_1_1,yii_hist_Fv/Fm,4.638461636162727,0.85
Floor-Pot_1_1,yii_hist_Fv/Fm,3.407719761726341,0.86
Floor-Pot_1_1,yii_hist_Fv/Fm,2.5021274433846035,0.87
Floor-Pot_1_1,yii_hist_Fv/Fm,1.7413282867412647,0.88
Floor-Pot_1_1,yii_hist_Fv/Fm,1.1189717145288507,0.89
Floor-Pot_1_1,yii_hist_Fv/Fm,0.6782416521661819,0.9
Floor-Pot_1_1,yii_hist_Fv/Fm,0.3810346360484168,0.91
Floor-Pot_1_1,yii_hist_Fv/Fm,0.26164378341991285,0.92
Floor-Pot_1_1,yii_hist_Fv/Fm,0.13209200716345115,0.93
Floor-Pot_1_1,yii_hist_Fv/Fm,0.06858623448871502,0.94
Floor-Pot_1_1,yii_hist_Fv/Fm,0.03810346360484168,0.95
Floor-Pot_1_1,yii_hist_Fv/Fm,0.030482770883873345,0.96
Floor-Pot_1_1,yii_hist_Fv/Fm,0.01397126998844195,0.97
Floor-Pot_1_1,yii_hist_Fv/Fm,0.006350577267473613,0.98
Floor-Pot_1_1,yii_hist_Fv/Fm,0.007620692720968336,0.99
